Time - Plot 0	Amplitude - Plot 0
734977	-0.00182027
734978	0.00327242
734979	-0.000547095
734980	-0.000547095
734981	-0.000547095
734982	-0.000547095
734983	-0.00182027
734984	-0.00182027
734985	-0.00182027
734986	-0.00182027
734987	-0.00563978
734988	-0.00182027
734989	-0.00436661
734990	-0.00309344
734991	-0.00436661
734992	-0.00436661
734993	-0.00436661
734994	-0.00436661
734995	-0.00182027
734996	-0.00563978
734997	-0.00182027
734998	-0.00436661
734999	-0.00182027
735000	-0.00309344
735001	-0.000547095
735002	-0.00182027
735003	-0.000547095
735004	-0.000547095
735005	-0.000547095
735006	-0.00182027
735007	0.00199925
735008	-0.00182027
735009	0.00199925
735010	-0.000547095
735011	0.000726075
735012	0.00199925
735013	0.00327242
735014	0.00199925
735015	0.00199925
735016	0.00199925
735017	0.00199925
735018	0.00199925
735019	-0.000547095
735020	0.00199925
735021	-0.000547095
735022	0.000726075
735023	-0.000547095
735024	-0.00182027
735025	-0.00182027
735026	-0.000547095
735027	-0.00182027
735028	-0.00182027
735029	-0.00436661
735030	-0.000547095
735031	-0.00436661
735032	-0.000547095
735033	-0.00436661
735034	-0.00436661
735035	-0.00309344
735036	-0.00309344
735037	-0.00563978
735038	-0.00182027
735039	-0.00436661
735040	-0.000547095
735041	-0.00436661
735042	0.000726075
735043	-0.000547095
735044	-0.000547095
735045	-0.00182027
735046	0.000726075
735047	0.000726075
735048	0.00327242
735049	-0.00182027
735050	0.000726075
735051	0.000726075
735052	0.000726075
735053	0.00199925
735054	0.00199925
735055	0.00199925
735056	-0.000547095
735057	-0.00182027
735058	-0.00182027
735059	-0.000547095
735060	-0.00309344
735061	0.000726075
735062	-0.00436661
735063	-0.00182027
735064	-0.00309344
735065	-0.00436661
735066	-0.00436661
735067	-0.00309344
735068	-0.00182027
735069	-0.00436661
735070	-0.00182027
735071	-0.00309344
735072	-0.000547095
735073	-0.000547095
735074	-0.000547095
735075	-0.000547095
735076	-0.00182027
735077	0.00199925
735078	-0.00182027
735079	0.000726075
735080	0.000726075
735081	0.00199925
735082	0.00199925
735083	0.00327242
735084	0.00327242
735085	0.00327242
735086	0.00199925
735087	0.00199925
735088	-0.00182027
735089	0.000726075
735090	-0.00182027
735091	-0.000547095
735092	-0.00182027
735093	-0.000547095
735094	-0.000547095
735095	-0.00436661
735096	-0.000547095
735097	-0.00309344
735098	-0.00436661
735099	-0.00436661
735100	-0.00309344
735101	-0.000547095
735102	-0.00309344
735103	-0.00182027
735104	-0.00436661
735105	-0.00182027
735106	-0.00182027
735107	-0.00182027
735108	-0.00182027
735109	0.000726075
735110	-0.000547095
735111	0.00327242
735112	-0.000547095
735113	0.00199925
735114	-0.000547095
735115	0.00199925
735116	0.00199925
735117	0.000726075
735118	0.00327242
735119	0.00199925
735120	0.00199925
735121	-0.000547095
735122	0.00199925
735123	0.000726075
735124	0.00327242
735125	-0.000547095
735126	-0.000547095
735127	-0.000547095
735128	-0.000547095
735129	-0.00182027
735130	-0.00182027
735131	-0.000547095
735132	-0.00182027
735133	-0.00309344
735134	-0.00182027
735135	-0.00436661
735136	-0.00309344
735137	-0.00182027
735138	-0.00563978
735139	-0.000547095
735140	-0.00436661
735141	-0.00436661
735142	-0.00436661
735143	-0.000547095
735144	-0.00563978
735145	-0.00182027
735146	-0.00182027
735147	-0.00182027
735148	-0.000547095
735149	-0.000547095
735150	-0.00182027
735151	0.00199925
735152	-0.00182027
735153	0.000726075
735154	-0.00182027
735155	0.00199925
735156	-0.00182027
735157	0.000726075
735158	0.000726075
735159	0.000726075
735160	0.000726075
735161	0.00199925
735162	0.00199925
735163	0.000726075
735164	0.00199925
735165	-0.00182027
735166	0.00199925
735167	-0.000547095
735168	-0.00182027
735169	-0.00182027
735170	-0.00182027
735171	-0.00182027
735172	-0.000547095
735173	-0.00182027
735174	-0.00309344
735175	-0.000547095
735176	-0.00436661
735177	-0.00182027
735178	-0.00436661
735179	-0.00436661
735180	-0.00436661
735181	-0.00436661
735182	-0.00563978
735183	-0.00436661
735184	-0.00309344
735185	-0.00563978
735186	-0.00182027
735187	-0.00436661
735188	-0.000547095
735189	-0.00182027
735190	-0.000547095
735191	-0.000547095
735192	0.00199925
735193	-0.000547095
735194	-0.00182027
735195	-0.00182027
735196	0.00199925
735197	-0.000547095
735198	0.00199925
735199	-0.00182027
735200	0.000726075
735201	0.000726075
735202	0.00327242
735203	0.00327242
735204	0.00199925
735205	0.00199925
735206	0.00199925
735207	0.00199925
735208	-0.000547095
735209	0.000726075
735210	-0.000547095
735211	0.00199925
735212	-0.000547095
735213	-0.000547095
735214	-0.00182027
735215	-0.00182027
735216	-0.000547095
735217	-0.000547095
735218	-0.00436661
735219	-0.00182027
735220	-0.00182027
735221	-0.00436661
735222	-0.00436661
735223	-0.00436661
735224	-0.00436661
735225	-0.00436661
735226	-0.00436661
735227	-0.00436661
735228	-0.00309344
735229	-0.000547095
735230	-0.00309344
735231	-0.000547095
735232	-0.00309344
735233	-0.00182027
735234	-0.00182027
735235	-0.000547095
735236	-0.00182027
735237	-0.000547095
735238	-0.000547095
735239	0.00199925
735240	-0.00182027
735241	0.00327242
735242	-0.00182027
735243	0.00327242
735244	0.000726075
735245	0.00199925
735246	0.00199925
735247	0.000726075
735248	0.00199925
735249	0.00199925
735250	-0.00182027
735251	0.00199925
735252	-0.000547095
735253	0.00327242
735254	-0.000547095
735255	-0.00182027
735256	-0.000547095
735257	-0.00182027
735258	-0.000547095
735259	-0.00182027
735260	-0.00436661
