Time - Plot 0,Amplitude - Plot 0
793977,-0.00182027
793978,-0.00436661
793979,-0.000547095
793980,-0.00436661
793981,-0.00309344
793982,-0.00436661
793983,-0.00436661
793984,-0.00182027
793985,-0.00436661
793986,-0.00182027
793987,-0.00563978
793988,-0.00182027
793989,-0.00182027
793990,-0.00182027
793991,-0.00182027
793992,-0.00182027
793993,-0.00182027
793994,0.00199925
793995,-0.00182027
793996,0.00199925
793997,-0.00182027
793998,0.00199925
793999,-0.000547095
794000,0.000726075
794001,0.00199925
794002,0.000726075
794003,0.000726075
794004,0.00327242
794005,0.00199925
794006,-0.000547095
794007,0.00199925
794008,0.000726075
794009,0.00199925
794010,-0.000547095
794011,0.00199925
794012,-0.00309344
794013,-0.00182027
794014,-0.00182027
794015,-0.00182027
794016,-0.00182027
794017,-0.00182027
794018,-0.00436661
794019,-0.00182027
794020,-0.00436661
794021,-0.000547095
794022,-0.00309344
794023,-0.00436661
794024,-0.00309344
794025,-0.00563978
794026,-0.00436661
794027,-0.00436661
794028,-0.00182027
794029,-0.00436661
794030,-0.00563978
794031,-0.00182027
794032,-0.00436661
794033,-0.000547095
794034,-0.00182027
794035,-0.00182027
794036,-0.00309344
794037,-0.000547095
794038,-0.000547095
794039,-0.00182027
794040,-0.000547095
794041,0.00199925
794042,-0.00182027
794043,0.00199925
794044,-0.00182027
794045,0.000726075
794046,0.00199925
794047,0.00199925
794048,0.000726075
794049,0.00199925
794050,0.000726075
794051,-0.00182027
794052,0.00199925
794053,-0.00182027
794054,0.00199925
794055,-0.00182027
794056,-0.00182027
794057,-0.00182027
794058,-0.000547095
794059,-0.000547095
794060,-0.000547095
794061,0.00199925
794062,0.00454559
794063,0.00709193
794064,0.0198236
794065,0.030009
794066,0.0541992
794067,0.0783895
794068,0.114038
794069,0.161146
794070,0.214619
794071,0.275731
794072,0.333024
794073,0.392863
794074,0.441243
794075,0.484531
794076,0.511267
794077,0.521453
794078,0.513814
794079,0.49217
794080,0.450155
794081,0.401775
794082,0.338116
794083,0.275731
794084,0.205707
794085,0.138228
794086,0.07457
794087,0.0236431
794088,-0.0183715
794089,-0.0502007
794090,-0.0782105
794091,-0.102401
794092,-0.117679
794093,-0.132957
794094,-0.139323
794095,-0.149508
794096,-0.153328
794097,-0.155874
794098,-0.155874
794099,-0.155874
794100,-0.155874
794101,-0.155874
794102,-0.15842
794103,-0.153328
794104,-0.155874
794105,-0.150781
794106,-0.144415
794107,-0.138049
794108,-0.126591
794109,-0.112586
794110,-0.0934885
794111,-0.0782105
794112,-0.0540203
794113,-0.02983
794114,-0.00182027
794115,0.0261895
794116,0.0541992
794117,0.0873017
794118,0.114038
794119,0.140775
794120,0.158599
794121,0.172604
794122,0.176424
794123,0.181516
794124,0.17515
794125,0.166238
794126,0.148414
794127,0.130589
794128,0.107672
794129,0.0847553
794130,0.0580187
794131,0.037648
794132,0.0185505
794133,-0.00436661
794134,-0.0196447
794135,-0.0336495
794136,-0.0451081
794137,-0.0540203
794138,-0.0591129
794139,-0.0629324
794140,-0.066752
794141,-0.0629324
794142,-0.0603861
794143,-0.0540203
794144,-0.0489276
794145,-0.0387422
794146,-0.0285568
794147,-0.0183715
794148,-0.00309344
794149,0.00581876
794150,0.0198236
794151,0.0261895
794152,0.0338285
794153,0.0440139
794154,0.0491066
794155,0.0529261
794156,0.0554724
794157,0.0541992
794158,0.0541992
794159,0.0516529
794160,0.0465602
794161,0.0440139
794162,0.0338285
794163,0.030009
794164,0.0210968
794165,0.0160041
794166,0.0083651
794167,-0.000547095
794168,-0.00818612
794169,-0.014552
794170,-0.0234642
794171,-0.0323764
794172,-0.0349227
794173,-0.0438349
794174,-0.0451081
794175,-0.0514739
794176,-0.0527471
794177,-0.0527471
794178,-0.0514739
794179,-0.0502007
794180,-0.0463812
794181,-0.0438349
794182,-0.0361959
794183,-0.0311032
794184,-0.0170983
794185,-0.0107325
794186,0.000726075
794187,0.0134578
794188,0.0261895
794189,0.0389212
794190,0.0567456
794191,0.0656578
794192,0.0771163
794193,0.0873017
794194,0.097487
794195,0.0987602
794196,0.10258
794197,0.101307
794198,0.0962139
794199,0.089848
794200,0.0809358
794201,0.0720236
794202,0.0592919
794203,0.0491066
794204,0.037648
794205,0.0236431
794206,0.0121846
794207,-0.00182027
794208,-0.014552
794209,-0.02983
794210,-0.037469
794211,-0.0502007
794212,-0.0552934
794213,-0.0654788
794214,-0.0705715
